iter	Passed	Remaining
605	1399	909
606	1401	907
607	1404	905
608	1406	902
609	1408	900
610	1410	897
611	1412	895
612	1414	892
613	1416	890
614	1419	888
615	1421	886
616	1423	883
617	1425	881
618	1427	878
619	1429	876
620	1431	873
621	1434	871
622	1436	869
623	1438	867
624	1441	864
625	1443	862
626	1445	859
627	1447	857
628	1450	855
629	1452	853
630	1455	851
631	1458	849
632	1460	846
633	1462	844
634	1464	841
635	1467	839
636	1469	837
637	1472	835
638	1474	832
639	1476	830
640	1478	828
641	1480	825
642	1483	823
643	1485	821
644	1487	818
645	1489	816
646	1491	813
647	1494	811
648	1496	809
649	1499	807
650	1502	805
651	1504	803
652	1506	800
653	1508	798
654	1510	795
655	1513	793
656	1516	791
657	1518	789
658	1520	786
659	1522	784
660	1525	782
661	1527	779
662	1529	777
663	1531	775
664	1534	772
665	1536	770
666	1538	767
667	1540	765
668	1543	763
669	1545	761
670	1547	758
671	1550	756
672	1552	754
673	1555	752
674	1557	749
675	1559	747
676	1561	745
677	1564	742
678	1566	740
679	1568	738
680	1570	735
681	1572	733
682	1574	730
683	1577	728
684	1579	726
685	1581	723
686	1583	721
687	1585	719
688	1587	716
689	1590	714
690	1592	712
691	1595	710
692	1597	707
693	1599	705
694	1601	702
695	1603	700
696	1605	698
697	1608	695
698	1610	693
699	1612	691
700	1614	688
701	1616	686
702	1618	683
703	1621	681
704	1623	679
705	1626	677
706	1628	674
707	1630	672
708	1632	669
709	1634	667
710	1636	665
711	1639	663
712	1642	661
713	1644	658
714	1647	656
715	1649	654
716	1651	651
717	1653	649
718	1656	647
719	1658	644
720	1660	642
721	1662	640
722	1664	637
723	1666	635
724	1669	633
725	1671	630
726	1673	628
727	1675	626
728	1677	623
729	1680	621
730	1682	619
731	1684	616
732	1687	614
733	1689	612
734	1691	609
735	1693	607
736	1695	605
737	1697	602
738	1700	600
739	1702	598
740	1704	595
741	1706	593
742	1709	591
743	1711	588
744	1713	586
745	1715	584
746	1718	582
747	1720	579
748	1722	577
749	1724	574
750	1726	572
751	1728	570
752	1731	567
753	1733	565
754	1736	563
755	1738	561
756	1740	558
757	1742	556
758	1744	553
759	1746	551
760	1749	549
761	1751	547
762	1754	544
763	1756	542
764	1759	540
765	1761	538
766	1763	535
767	1766	533
768	1768	531
769	1770	528
770	1772	526
771	1774	524
772	1776	521
773	1778	519
774	1781	517
775	1783	514
776	1785	512
777	1787	510
778	1789	507
779	1791	505
780	1794	503
781	1796	500
782	1798	498
783	1800	496
784	1802	493
785	1804	491
786	1806	489
787	1809	486
788	1811	484
789	1814	482
790	1816	479
791	1818	477
792	1820	475
793	1822	472
794	1824	470
795	1827	468
796	1829	466
797	1831	463
798	1833	461
799	1836	459
800	1838	456
801	1840	454
802	1842	452
803	1845	449
804	1847	447
805	1849	445
806	1851	442
807	1854	440
808	1856	438
809	1858	435
810	1861	433
811	1863	431
812	1865	429
813	1867	426
814	1869	424
815	1872	422
816	1874	419
817	1877	417
818	1879	415
819	1881	413
820	1883	410
821	1885	408
822	1888	406
823	1890	403
824	1892	401
825	1895	399
826	1897	396
827	1899	394
828	1901	392
829	1903	389
830	1906	387
831	1908	385
832	1910	383
833	1913	380
834	1915	378
835	1917	376
836	1919	373
837	1921	371
838	1924	369
839	1926	366
840	1928	364
841	1931	362
842	1933	360
843	1935	357
844	1937	355
845	1939	353
846	1942	350
847	1944	348
848	1946	346
849	1948	343
850	1950	341
851	1953	339
852	1955	337
853	1957	334
854	1960	332
855	1962	330
856	1964	327
857	1967	325
858	1969	323
859	1972	321
860	1974	318
861	1976	316
862	1978	314
863	1980	311
864	1982	309
865	1985	307
866	1987	304
867	1989	302
868	1991	300
869	1994	297
870	1996	295
871	1998	293
872	2001	291
873	2003	288
874	2005	286
875	2007	284
876	2010	281
877	2012	279
878	2014	277
879	2016	275
880	2018	272
881	2020	270
882	2022	268
883	2024	265
884	2027	263
885	2029	261
886	2031	258
887	2034	256
888	2036	254
889	2038	251
890	2040	249
891	2042	247
892	2045	245
893	2047	242
894	2050	240
895	2052	238
896	2054	235
897	2056	233
898	2058	231
899	2060	228
900	2063	226
901	2065	224
902	2067	222
903	2069	219
904	2072	217
905	2074	215
906	2076	212
907	2078	210
908	2081	208
909	2083	206
910	2085	203
911	2087	201
912	2089	199
913	2091	196
914	2094	194
915	2096	192
916	2098	189
917	2100	187
918	2102	185
919	2104	183
920	2106	180
921	2109	178
922	2111	176
923	2113	173
924	2115	171
925	2117	169
926	2119	166
927	2122	164
928	2124	162
929	2126	160
930	2129	157
931	2131	155
932	2133	153
933	2135	150
934	2137	148
935	2139	146
936	2142	144
937	2144	141
938	2146	139
939	2148	137
940	2151	134
941	2153	132
942	2155	130
943	2158	128
944	2160	125
945	2162	123
946	2164	121
947	2166	118
948	2168	116
949	2170	114
950	2173	111
951	2175	109
952	2178	107
953	2180	105
954	2182	102
955	2185	100
956	2187	98
957	2190	96
958	2192	93
959	2194	91
960	2196	89
961	2198	86
962	2200	84
963	2202	82
964	2204	79
965	2207	77
966	2209	75
967	2211	73
968	2213	70
969	2215	68
970	2217	66
971	2221	63
972	2223	61
973	2225	59
974	2227	57
975	2229	54
976	2232	52
977	2234	50
978	2237	47
979	2239	45
980	2241	43
981	2243	41
982	2245	38
983	2248	36
984	2250	34
985	2252	31
986	2254	29
987	2258	27
988	2260	25
989	2262	22
990	2265	20
991	2268	18
992	2270	16
993	2272	13
994	2275	11
995	2277	9
996	2279	6
997	2281	4
998	2284	2
999	2286	0
